,movieId,imdbId,tmdbId,youtubeId,title,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,year,full_link,views,dates,likes,dislikes
2584,50804,367959,1248.0,7LnMX1jgfRE,Hannibal Rising (2007),Color,Peter Webber,209.0,131.0,73.0,163.0,Stephen Walters,879.0,27667947.0,Crime|Drama|Thriller,Li Gong,Hannibal Rising ,86374,1344,Richard Brake,0.0,aunt|cannibalism|faked death|medical student|revenge,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,392.0,English,UK,R,50000000.0,2007.0,184.0,6.2,2.35,3000,2007,https://www.youtube.com/watch?v=7LnMX1jgfRE,174541,2009130,291,17
2585,50872,382932,2062.0,jOGDozdW9Yo,Ratatouille (2007),Color,Brad Bird,318.0,111.0,663.0,954.0,John Ratzenberger,1000.0,206435493.0,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,473887,4764,Brian Dennehy,0.0,chef|food|french|rat|restaurant,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626.0,English,USA,G,150000000.0,2007.0,1000.0,8.0,2.35,10000,2007,https://www.youtube.com/watch?v=jOGDozdW9Yo,57130,2009129,56,5
2587,50923,469263,5172.0,390WaPcxnFI,"Astronaut Farmer, The (2007)",Color,Michael Polish,113.0,104.0,35.0,844.0,Virginia Madsen,24000.0,10996440.0,Adventure|Drama|Sci-Fi,J.K. Simmons,The Astronaut Farmer ,19707,27806,Bruce Dern,0.0,bank|fbi|fuel|rocket|space travel,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,128.0,English,USA,PG,13000000.0,2006.0,912.0,6.3,2.35,862,2007,https://www.youtube.com/watch?v=390WaPcxnFI,260516,2007115,315,25
2588,51077,259324,1250.0,R1hZNHPVVAQ,Ghost Rider (2007),Color,Mark Steven Johnson,276.0,123.0,160.0,402.0,Matt Long,12000.0,115802596.0,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider ,182661,14017,Peter Fonda,1.0,blackheart|devil|father|ghost|mephistopheles,http://www.imdb.com/title/tt0259324/?ref_=fn_tt_tt_1,681.0,English,USA,PG-13,110000000.0,2007.0,701.0,5.2,2.35,0,2007,https://www.youtube.com/watch?v=R1hZNHPVVAQ,2436874,200622,2286,241
2589,51084,758766,11172.0,x7AmC7nA7yU,Music and Lyrics (2007),Color,Marc Lawrence,175.0,95.0,30.0,664.0,Scott Porter,799.0,50562555.0,Comedy|Music|Romance,Brad Garrett,Music and Lyrics ,81334,2787,Haley Bennett,4.0,love|lyricist|singer|singing|song,http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1,291.0,English,USA,PG-13,,2007.0,690.0,6.5,1.85,0,2007,https://www.youtube.com/watch?v=x7AmC7nA7yU,77964,20131012,0,0
2590,51086,481369,3594.0,TUTlOC4mVQ8,"Number 23, The (2007)",Color,Joel Schumacher,224.0,98.0,541.0,897.0,Virginia Madsen,8000.0,35063732.0,Mystery|Thriller,Logan Lerman,The Number 23 ,164608,10938,Ed Lauter,1.0,destiny|detective|imagination|murder|sex scene,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,383.0,English,USA,R,32000000.0,2007.0,912.0,6.4,2.35,10000,2007,https://www.youtube.com/watch?v=TUTlOC4mVQ8,697910,201478,1759,108
2591,51088,499554,10090.0,2LD9MyoIumQ,Reno 911!: Miami (2007),Color,Robert Ben Garant,89.0,84.0,134.0,307.0,Thomas Lennon,655.0,20339754.0,Comedy|Crime,Wendi McLendon-Covey,Reno 911!: Miami ,23928,2737,Carlos Alazraqui,2.0,beach|police|sex scene|spring break|vomiting,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,73.0,English,USA,R,10000000.0,2007.0,651.0,5.9,1.85,441,2007,https://www.youtube.com/watch?v=2LD9MyoIumQ,NaN,NaN,NaN,NaN
2594,51255,425112,4638.0,ayTnvVpj9t4,Hot Fuzz (2007),Color,Edgar Wright,285.0,121.0,1000.0,108.0,Joe Cornish,175.0,23618786.0,Action|Comedy|Mystery,Bill Bailey,Hot Fuzz ,352695,485,Billie Whitelaw,1.0,accident|conspiracy|police|police officer|village,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,687.0,English,UK,R,8000000.0,2007.0,115.0,7.9,2.35,17000,2007,https://www.youtube.com/watch?v=ayTnvVpj9t4,3534511,2011624,8872,335
2596,51540,443706,1949.0,dJ0oNfjzx4k,Zodiac (2007),Color,David Fincher,377.0,162.0,21000.0,495.0,Jake Gyllenhaal,21000.0,33048353.0,Crime|Drama|History|Mystery|Thriller,Robert Downey Jr.,Zodiac ,301279,36928,Anthony Edwards,0.0,cartoonist|reporter|serial killer|zodiac|zodiac killer,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,589.0,English,USA,R,65000000.0,2007.0,15000.0,7.7,2.35,12000,2007,https://www.youtube.com/watch?v=dJ0oNfjzx4k,96190,2009129,68,6
2597,51569,496436,7006.0,qchvg2CmLhI,White Noise 2: The Light (2007),Color,Patrick Lussier,62.0,99.0,71.0,126.0,Craig Fairbrass,298.0,,Drama|Fantasy|Horror|Thriller,Teryl Rothery,White Noise 2: The Light ,11285,934,Adrian Holmes,0.0,angry spirit|aura|electronic voice phenomena|electronics|near death experience,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,82.0,English,USA,PG-13,10000000.0,2007.0,258.0,5.7,2.35,509,2007,https://www.youtube.com/watch?v=qchvg2CmLhI,262065,2007106,230,29
2598,51575,486946,11199.0,sioVHR09ggQ,Wild Hogs (2007),Color,Walt Becker,177.0,100.0,12.0,311.0,Tichina Arnold,419.0,168213584.0,Action|Adventure|Comedy,Jill Hennessy,Wild Hogs ,99989,1412,Drew Sidora,3.0,biker gang|friend|motorcycle|new mexico|road trip,http://www.imdb.com/title/tt0486946/?ref_=fn_tt_tt_1,255.0,English,USA,PG-13,,2007.0,330.0,5.9,2.35,0,2007,https://www.youtube.com/watch?v=sioVHR09ggQ,NaN,NaN,NaN,NaN
2600,51662,416449,1271.0,UrIbxk7idYA,300 (2007),Color,Zack Snyder,460.0,117.0,0.0,447.0,Michael Fassbender,18000.0,210592590.0,Action|Drama|Fantasy|War,Gerard Butler,300 ,607235,32360,Vincent Regan,0.0,battle|epic|greece|spartan|warrior,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073.0,English,USA,R,65000000.0,2006.0,13000.0,7.7,2.35,13000,2007,https://www.youtube.com/watch?v=UrIbxk7idYA,4203043,2012210,14344,757
2602,51834,416508,2977.0,OYViBfUvSOA,Becoming Jane (2007),Color,Julian Jarrold,150.0,120.0,11.0,281.0,Julie Walters,11000.0,18663911.0,Biography|Drama|Romance,Anne Hathaway,Becoming Jane ,46204,12554,Laurence Fox,1.0,country estate|jane austen|lady|love|writing,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,151.0,English,UK,PG,16500000.0,2007.0,838.0,7.1,2.35,0,2007,https://www.youtube.com/watch?v=OYViBfUvSOA,1681566,2007128,2314,72
2604,51903,770772,14434.0,am2j79QYlS8,I Think I Love My Wife (2007),Color,Chris Rock,97.0,94.0,0.0,458.0,Eliza Coupe,12000.0,12550242.0,Comedy|Drama|Romance,Steve Buscemi,I Think I Love My Wife ,13866,13446,Wendell Pierce,3.0,banker|investment|investment banker|marriage|sex,http://www.imdb.com/title/tt0770772/?ref_=fn_tt_tt_1,55.0,English,USA,R,,2007.0,490.0,5.5,1.85,488,2007,https://www.youtube.com/watch?v=am2j79QYlS8,21890,2008218,0,0
2605,51925,477071,9963.0,yOpg2ttNLZA,Premonition (2007),Color,Mennan Yapo,184.0,96.0,9.0,107.0,Amber Valletta,826.0,47852604.0,Drama|Mystery|Thriller,Nia Long,Premonition ,62364,1825,Marc Macaulay,0.0,car|car accident|housewife|sheriff|suburb,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337.0,English,USA,PG-13,20000000.0,2007.0,626.0,5.9,2.35,0,2007,https://www.youtube.com/watch?v=yOpg2ttNLZA,366331,2007819,425,19
2606,51931,490204,2355.0,jwy6XPXAw_M,Reign Over Me (2007),Color,Mike Binder,154.0,124.0,57.0,905.0,Don Cheadle,11000.0,19661987.0,Drama,Adam Sandler,Reign Over Me ,83786,17050,John de Lancie,2.0,college|depression|grief|mental breakdown|post september 11 2001,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,231.0,English,USA,R,20000000.0,2007.0,3000.0,7.5,2.35,0,2007,https://www.youtube.com/watch?v=jwy6XPXAw_M,NaN,NaN,NaN,NaN
2607,51935,822854,7485.0,-6jgkXHdNi4,Shooter (2007),Color,Antoine Fuqua,198.0,124.0,845.0,295.0,Ned Beatty,650.0,46975183.0,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter ,256213,1640,Louis Ferreira,0.0,colonel|ethiopia|marksman|on the run|rangefinder,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,338.0,English,USA,R,61000000.0,2007.0,467.0,7.2,2.35,0,2007,https://www.youtube.com/watch?v=-6jgkXHdNi4,190768,2009129,82,8
2608,51937,800069,9793.0,Fy2t5N2WljM,"Hills Have Eyes II, The (2007)",Color,Martin Weisz,161.0,89.0,7.0,399.0,Daniella Alonso,919.0,20801344.0,Horror,Jeff Kober,The Hills Have Eyes II ,49721,2559,Jacob Vargas,0.0,desert|fight|hill|murder|mutant,http://www.imdb.com/title/tt0800069/?ref_=fn_tt_tt_1,211.0,English,USA,R,15000000.0,2007.0,557.0,5.1,2.35,0,2007,https://www.youtube.com/watch?v=Fy2t5N2WljM,644525,2012317,519,107
2609,51939,453556,1273.0,5959gImCSB8,TMNT (Teenage Mutant Ninja Turtles) (2007),Color,Kevin Munroe,191.0,87.0,14.0,691.0,Sarah Michelle Gellar,11000.0,54132596.0,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Chris Evans,TMNT ,53786,16571,Mako,0.0,martial arts master|monster|new york city|turtle|warrior,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,211.0,English,Hong Kong,PG,34000000.0,2007.0,4000.0,6.3,2.35,0,2007,https://www.youtube.com/watch?v=5959gImCSB8,510593,2006727,440,30
2613,52245,445934,9955.0,fA4ROCXurns,Blades of Glory (2007),Color,Josh Gordon,191.0,93.0,8.0,970.0,Amy Poehler,8000.0,118153533.0,Comedy|Sport,Will Ferrell,Blades of Glory ,129995,13232,Jon Heder,2.0,competition|fight|ice|jock strap|nintendo game boy advance,http://www.imdb.com/title/tt0445934/?ref_=fn_tt_tt_1,246.0,English,USA,PG-13,61000000.0,2007.0,1000.0,6.3,1.85,0,2007,https://www.youtube.com/watch?v=fA4ROCXurns,1282,20121115,4,2
2614,52281,462322,253768.0,9ZTIM8zJVYI,Grindhouse (2007),Color,Robert Rodriguez,250.0,189.0,0.0,1000.0,Rosario Dawson,16000.0,25031037.0,Action|Horror|Thriller,Quentin Tarantino,Grindhouse ,155496,22186,Zoë Bell,0.0,anthropophagus|blood and gore|double feature|real twins playing twins|zombie,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,532.0,English,USA,R,53000000.0,2007.0,3000.0,7.6,2.35,0,2007,https://www.youtube.com/watch?v=9ZTIM8zJVYI,510110,20081030,782,70
2615,52283,444682,1683.0,uJmoEPwudN0,"Reaping, The (2007)",Color,Stephen Hopkins,190.0,99.0,81.0,135.0,Andrea Frankle,327.0,25117498.0,Horror|Thriller,Stephen Rea,The Reaping ,37412,960,William Ragsdale,0.0,biblical plague|louisiana|missionary|plague|small town,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,178.0,English,USA,R,40000000.0,2007.0,253.0,5.7,2.35,0,2007,https://www.youtube.com/watch?v=uJmoEPwudN0,143077,2006719,141,17
2616,52328,448134,1272.0,r8BSlqHAhuY,Sunshine (2007),Color,Danny Boyle,308.0,107.0,0.0,167.0,Benedict Wong,11000.0,3675072.0,Adventure|Sci-Fi|Thriller,Chris Evans,Sunshine ,190132,11623,Troy Garity,0.0,astronaut|earth|future|icarus|sun,http://www.imdb.com/title/tt0448134/?ref_=fn_tt_tt_1,801.0,English,UK,R,26000000.0,2007.0,372.0,7.3,2.35,15000,2007,https://www.youtube.com/watch?v=r8BSlqHAhuY,2175813,2009610,4180,420
2618,52375,462338,9903.0,ULOppLFx7pY,"Hoax, The (2007)",Color,Lasse Hallström,142.0,116.0,529.0,174.0,Christopher Evan Welch,442.0,7156933.0,Comedy|Drama,Hope Davis,The Hoax ,14581,1134,James Biberi,0.0,book|fabrication|fake|hoax|manuscript,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,74.0,English,USA,R,25000000.0,2006.0,252.0,6.7,1.85,348,2007,https://www.youtube.com/watch?v=ULOppLFx7pY,133571,20071219,94,8
2619,52458,486822,8271.0,0XDdo6a_UZA,Disturbia (2007),Color,D.J. Caruso,253.0,105.0,154.0,502.0,Aaron Yoo,884.0,80050171.0,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,186982,2288,Jose Pablo Cantillo,0.0,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491.0,English,USA,PG-13,20000000.0,2007.0,617.0,6.9,1.85,0,2007,https://www.youtube.com/watch?v=0XDdo6a_UZA,76958,201138,274,5
2620,52458,486822,8271.0,0XDdo6a_UZA,Disturbia (2007),Color,D.J. Caruso,253.0,105.0,154.0,501.0,Aaron Yoo,884.0,80050171.0,Drama|Mystery|Thriller,Sarah Roemer,Disturbia ,186984,2287,Jose Pablo Cantillo,0.0,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,491.0,English,USA,PG-13,20000000.0,2007.0,617.0,6.9,1.85,0,2007,https://www.youtube.com/watch?v=0XDdo6a_UZA,76958,201138,274,5
2621,52462,455326,13158.0,0IOXw6NHCVA,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),Color,Matt Maiellaro,82.0,86.0,8.0,357.0,Fred Armisen,2000.0,5518918.0,Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters ,12160,3071,Chris Kattan,0.0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,73.0,English,USA,R,750000.0,2007.0,424.0,6.9,1.85,307,2007,https://www.youtube.com/watch?v=0IOXw6NHCVA,28895,2012214,198,5
2623,52668,419843,13067.0,qs43QuyMu4w,In the Land of Women (2007),Color,Jon Kasdan,81.0,97.0,21.0,499.0,Elena Anaya,17000.0,11043445.0,Comedy|Drama|Romance,Kristen Stewart,In the Land of Women ,27689,20312,Dustin Milligan,0.0,actress|love|michigan|neighbor|writer,http://www.imdb.com/title/tt0419843/?ref_=fn_tt_tt_1,74.0,English,USA,PG-13,10000000.0,2007.0,1000.0,6.5,2.35,1000,2007,https://www.youtube.com/watch?v=qs43QuyMu4w,53941,200755,41,2
2624,52694,453451,1268.0,ZV_HYwmEi_k,Mr. Bean's Holiday (2007),Color,Steve Bendelack,151.0,90.0,68.0,100.0,Emma de Caunes,328.0,32553210.0,Comedy|Family,Lily Atkinson,Mr. Bean's Holiday ,88714,794,Steve Pemberton,0.0,camcorder|cannes|director|lost passport|train,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,235.0,English,UK,PG,25000000.0,2007.0,132.0,6.3,1.85,0,2007,https://www.youtube.com/watch?v=ZV_HYwmEi_k,680836,2007625,569,63
2625,52722,413300,559.0,PCmMLfXdURs,Spider-Man 3 (2007),Color,Sam Raimi,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0.0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,2.35,0,2007,https://www.youtube.com/watch?v=PCmMLfXdURs,3616689,2007419,5124,525
2626,52722,413300,559.0,PCmMLfXdURs,Spider-Man 3 (2007),Color,Sam Raimi,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383071,46055,Kirsten Dunst,0.0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,2.35,0,2007,https://www.youtube.com/watch?v=PCmMLfXdURs,3616689,2007419,5124,525
2627,52724,338216,1950.0,kGWgHKHBWm8,Lucky You (2007),Color,Curtis Hanson,106.0,124.0,161.0,681.0,Robert Duvall,21000.0,5755286.0,Drama|Romance|Sport,Robert Downey Jr.,Lucky You ,18310,26334,Kelvin Han Yee,1.0,losing|poker|poker player|reference to frederic chopin|reference to johannes brahms,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,63.0,English,USA,PG-13,55000000.0,2007.0,3000.0,5.9,2.35,672,2007,https://www.youtube.com/watch?v=kGWgHKHBWm8,108043,2013720,139,9
2631,52973,478311,4964.0,K6oqO-xMERc,Knocked Up (2007),Color,Judd Apatow,251.0,133.0,0.0,529.0,Martin Starr,11000.0,148734225.0,Comedy|Romance,Harold Ramis,Knocked Up ,298590,12874,Charlyne Yi,2.0,one night stand|pregnancy|slacker|unplanned pregnancy|website,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,559.0,English,USA,R,30000000.0,2007.0,985.0,7.0,1.85,0,2007,https://www.youtube.com/watch?v=K6oqO-xMERc,43194,200977,20,3
2632,52975,427327,2976.0,SUoG7mqCixI,Hairspray (2007),Color,Adam Shankman,219.0,117.0,163.0,260.0,Elijah Kelley,719.0,118823091.0,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,Hairspray ,98693,1673,Paul Dooley,9.0,audition|best friend|dance|friend|tv dance show,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,401.0,English,USA,PG,75000000.0,2007.0,339.0,6.7,2.35,0,2007,https://www.youtube.com/watch?v=SUoG7mqCixI,873053,20121120,4048,106
2633,53000,463854,1562.0,cbpjH4XCG3c,28 Weeks Later (2007),Color,Juan Carlos Fresnadillo,274.0,100.0,35.0,306.0,Harold Perrineau,10000.0,28637507.0,Drama|Horror|Sci-Fi,Jeremy Renner,28 Weeks Later ,212167,11471,Catherine McCormack,1.0,paris france|rage|sniper|u.s. army|zombie apocalypse,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,713.0,English,UK,R,15000000.0,2007.0,1000.0,7.0,1.85,0,2007,https://www.youtube.com/watch?v=cbpjH4XCG3c,1625395,2008125,1744,140
2634,53002,791304,13159.0,tdG7UdD0XtY,Georgia Rule (2007),Color,Garry Marshall,88.0,113.0,0.0,949.0,Zachary Gordon,995.0,18882880.0,Comedy|Drama,Hector Elizondo,Georgia Rule ,20539,4039,Jane Fonda,3.0,alcoholic|rules|secret|summer|teenager,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,125.0,English,USA,R,20000000.0,2007.0,975.0,5.9,2.35,681,2007,https://www.youtube.com/watch?v=tdG7UdD0XtY,291642,201219,830,25
2635,53121,413267,810.0,InR865IDDjU,Shrek the Third (2007),Color,Chris Miller,227.0,93.0,50.0,692.0,Eric Idle,3000.0,320706665.0,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Shrek the Third ,211971,4705,Rupert Everett,2.0,disney spoof|fairy tale|prince|princess|tough guy,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326.0,English,USA,PG,160000000.0,2007.0,795.0,6.1,1.85,0,2007,https://www.youtube.com/watch?v=InR865IDDjU,610829,201257,0,0
2637,53125,449088,285.0,HKSZtp_OGHY,Pirates of the Caribbean: At World's End (2007),Color,Gore Verbinski,302.0,169.0,563.0,1000.0,Orlando Bloom,40000.0,309404152.0,Action|Adventure|Fantasy,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,Jack Davenport,0.0,goddess|marriage ceremony|marriage proposal|pirate|singapore,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,USA,PG-13,300000000.0,2007.0,5000.0,7.1,2.35,0,2007,https://www.youtube.com/watch?v=HKSZtp_OGHY,1512835,20131114,5930,102
2638,53133,441007,15568.0,K6WzMtMxxgk,Gracie (2007),Color,Davis Guggenheim,65.0,95.0,49.0,261.0,John Doman,702.0,2955039.0,Biography|Drama|Sport,Emma Bell,Gracie ,3624,2007,Carly Schroeder,1.0,boy|girl|soccer|south orange new jersey|teenager,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,27.0,English,USA,PG-13,9000000.0,2007.0,616.0,6.2,2.35,313,2007,https://www.youtube.com/watch?v=K6WzMtMxxgk,NaN,NaN,NaN,NaN
2639,53207,411061,3489.0,zUCd805JDJk,88 Minutes (2008),Color,Jon Avnet,158.0,108.0,50.0,494.0,Alicia Witt,14000.0,16930884.0,Crime|Drama|Mystery|Thriller,Al Pacino,88 Minutes ,65628,16722,Deborah Kara Unger,1.0,death|fbi|forensics|murder|serial killer,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,262.0,English,USA,R,30000000.0,2007.0,975.0,5.9,2.35,0,2008,https://www.youtube.com/watch?v=zUCd805JDJk,613932,20081117,569,60
